DateTime,CO2
1/1/2024 5:30,561
1/1/2024 5:35,559
1/1/2024 5:40,556
1/1/2024 5:45,567
1/1/2024 5:50,566
1/1/2024 5:55,563
1/1/2024 6:00,561
1/1/2024 6:05,566
1/1/2024 6:10,563
1/1/2024 6:15,562
1/1/2024 6:20,561
1/1/2024 6:25,561
1/1/2024 6:30,560
1/1/2024 6:35,558
1/1/2024 6:40,557
1/1/2024 6:45,556
1/1/2024 6:50,551
1/1/2024 6:55,561
1/1/2024 7:00,556
1/1/2024 7:05,563
1/1/2024 7:10,561
1/1/2024 7:15,557
1/1/2024 7:20,556
1/1/2024 7:25,563
1/1/2024 7:30,587
1/1/2024 7:35,585
1/1/2024 7:40,582
1/1/2024 7:45,576
1/1/2024 7:50,579
1/1/2024 7:55,581
1/1/2024 8:00,584
1/1/2024 8:05,589
1/1/2024 8:10,595
1/1/2024 8:15,601
1/1/2024 8:20,607
1/1/2024 8:25,608
1/1/2024 8:30,610
1/1/2024 8:35,612
1/1/2024 8:40,615
1/1/2024 8:45,610
1/1/2024 8:50,607
1/1/2024 8:55,603
1/1/2024 9:00,600
1/1/2024 9:05,604
1/1/2024 9:10,598
1/1/2024 9:15,605
1/1/2024 9:20,603
1/1/2024 9:25,598
1/1/2024 9:30,590
1/1/2024 9:35,595
1/1/2024 9:40,554
1/1/2024 9:45,556
1/1/2024 9:50,556
1/1/2024 9:55,561
1/1/2024 10:00,570
1/1/2024 10:05,569
1/1/2024 10:10,554
1/1/2024 10:15,564
1/1/2024 10:20,560
1/1/2024 10:25,559
1/1/2024 10:30,564
1/1/2024 10:35,577
1/1/2024 10:40,575
1/1/2024 10:45,579
1/1/2024 10:50,576
1/1/2024 10:55,574
1/1/2024 11:00,570
1/1/2024 11:05,569
1/1/2024 11:10,564
1/1/2024 11:15,585
1/1/2024 11:20,575
1/1/2024 11:25,580
1/1/2024 11:30,585
1/1/2024 11:35,581
1/1/2024 11:40,580
1/1/2024 11:45,571
1/1/2024 11:50,575
1/1/2024 11:55,590
1/1/2024 12:00,589
1/1/2024 12:05,602
1/1/2024 12:10,600
1/1/2024 12:15,608
1/1/2024 12:20,613
1/1/2024 12:25,617
1/1/2024 12:30,621
1/1/2024 12:35,619
1/1/2024 12:40,614
1/1/2024 12:45,617
1/1/2024 12:50,622
1/1/2024 12:55,626
1/1/2024 13:00,627
1/1/2024 13:05,629
1/1/2024 13:10,631
1/1/2024 13:15,633
1/1/2024 13:20,631
1/1/2024 13:25,627
1/1/2024 13:30,621
1/1/2024 13:35,619
1/1/2024 13:40,611
1/1/2024 13:45,600
1/1/2024 13:50,595
1/1/2024 13:55,605
1/1/2024 14:00,596
1/1/2024 14:05,601
1/1/2024 14:10,591
1/1/2024 14:15,604
1/1/2024 14:20,600
1/1/2024 14:25,602
1/1/2024 14:30,610
1/1/2024 14:35,621
1/1/2024 14:40,627
1/1/2024 14:45,635
1/1/2024 14:50,648
1/1/2024 14:55,663
1/1/2024 15:00,689
1/1/2024 15:05,657
1/1/2024 15:10,650
1/1/2024 15:15,644
1/1/2024 15:20,641
1/1/2024 15:25,634
1/1/2024 15:30,614
1/1/2024 15:35,602
1/1/2024 15:40,594
1/1/2024 15:45,589
1/1/2024 15:50,582
1/1/2024 15:55,574
1/1/2024 16:00,579
1/1/2024 16:05,585
1/1/2024 16:10,579
1/1/2024 16:15,570
1/1/2024 16:20,566
1/1/2024 16:25,572
1/1/2024 16:30,570
1/1/2024 16:35,566
1/1/2024 16:40,565
1/1/2024 16:45,561
1/1/2024 16:50,560
1/1/2024 16:55,555
1/1/2024 17:00,552
1/1/2024 17:05,550
1/1/2024 17:10,552
1/1/2024 17:15,555
1/1/2024 17:20,552
1/1/2024 17:25,556
1/1/2024 17:30,559
1/1/2024 17:35,561
1/1/2024 17:40,558
1/1/2024 17:45,555
1/1/2024 17:50,553
1/1/2024 17:55,552
1/1/2024 18:00,550
1/1/2024 18:05,557
1/1/2024 18:10,554
1/1/2024 18:15,550
1/1/2024 18:20,549
1/1/2024 18:25,554
1/1/2024 18:30,558
1/1/2024 18:35,552
1/1/2024 18:40,559
1/1/2024 18:45,562
1/1/2024 18:50,558
1/1/2024 18:55,554
1/1/2024 19:00,560
1/1/2024 19:05,555
1/1/2024 19:10,550
1/1/2024 19:15,538
1/1/2024 19:20,536
1/1/2024 19:25,545
1/1/2024 19:30,542
1/1/2024 19:35,545
1/1/2024 19:40,544
1/1/2024 19:45,549
1/1/2024 19:50,553
1/1/2024 19:55,559
1/1/2024 20:00,554
1/1/2024 20:05,556
1/1/2024 20:10,558
1/1/2024 20:15,562
1/1/2024 20:20,555
1/1/2024 20:25,550
1/1/2024 20:30,551
1/1/2024 20:35,550
1/1/2024 20:40,548
1/1/2024 20:45,545
1/1/2024 20:50,548
1/1/2024 20:55,550
1/1/2024 21:00,547
1/1/2024 21:05,545
1/1/2024 21:10,543
1/1/2024 21:15,546
1/1/2024 21:20,545
1/1/2024 21:25,543
1/1/2024 21:30,542
1/1/2024 21:35,548
1/1/2024 21:40,540
1/1/2024 21:45,545
1/1/2024 21:50,551
1/1/2024 21:55,552
1/1/2024 22:00,555
1/1/2024 22:05,552
1/1/2024 22:10,547
1/1/2024 22:15,552
1/1/2024 22:20,549
1/1/2024 22:25,547
1/1/2024 22:30,543
1/1/2024 22:35,542
1/1/2024 22:40,554
1/1/2024 22:45,559
1/1/2024 22:50,562
1/1/2024 22:55,556
1/1/2024 23:00,557
1/1/2024 23:05,558
1/1/2024 23:10,557
1/1/2024 23:15,555
1/1/2024 23:20,553
1/1/2024 23:25,554
1/1/2024 23:30,568
